Código Município;pr_mean2014/11/01;pr_sd2014/11/01;pr_max2014/11/01;pr_min2014/11/01;pr_sum2014/11/01;pr_mean2014/12/01;pr_sd2014/12/01;pr_max2014/12/01;pr_min2014/12/01;pr_sum2014/12/01;pr_mean2015/01/01;pr_sd2015/01/01;pr_max2015/01/01;pr_min2015/01/01;pr_sum2015/01/01;pr_mean2015/11/01;pr_sd2015/11/01;pr_max2015/11/01;pr_min2015/11/01;pr_sum2015/11/01;pr_mean2015/12/01;pr_sd2015/12/01;pr_max2015/12/01;pr_min2015/12/01;pr_sum2015/12/01;pr_mean2016/01/01;pr_sd2016/01/01;pr_max2016/01/01;pr_min2016/01/01;pr_sum2016/01/01;pr_mean2016/11/01;pr_sd2016/11/01;pr_max2016/11/01;pr_min2016/11/01;pr_sum2016/11/01;pr_mean2016/12/01;pr_sd2016/12/01;pr_max2016/12/01;pr_min2016/12/01;pr_sum2016/12/01;pr_mean2017/01/01;pr_sd2017/01/01;pr_max2017/01/01;pr_min2017/01/01;pr_sum2017/01/01;pr_mean2017/11/01;pr_sd2017/11/01;pr_max2017/11/01;pr_min2017/11/01;pr_sum2017/11/01;pr_mean2017/12/01;pr_sd2017/12/01;pr_max2017/12/01;pr_min2017/12/01;pr_sum2017/12/01;pr_mean2018/01/01;pr_sd2018/01/01;pr_max2018/01/01;pr_min2018/01/01;pr_sum2018/01/01;pr_mean2018/11/01;pr_sd2018/11/01;pr_max2018/11/01;pr_min2018/11/01;pr_sum2018/11/01;pr_mean2018/12/01;pr_sd2018/12/01;pr_max2018/12/01;pr_min2018/12/01;pr_sum2018/12/01;pr_mean2019/01/01;pr_sd2019/01/01;pr_max2019/01/01;pr_min2019/01/01;pr_sum2019/01/01;pr_mean2019/11/01;pr_sd2019/11/01;pr_max2019/11/01;pr_min2019/11/01;pr_sum2019/11/01;pr_mean2019/12/01;pr_sd2019/12/01;pr_max2019/12/01;pr_min2019/12/01;pr_sum2019/12/01;pr_mean2020/01/01;pr_sd2020/01/01;pr_max2020/01/01;pr_min2020/01/01;pr_sum2020/01/01;pr_mean2020/11/01;pr_sd2020/11/01;pr_max2020/11/01;pr_min2020/11/01;pr_sum2020/11/01;pr_mean2020/12/01;pr_sd2020/12/01;pr_max2020/12/01;pr_min2020/12/01;pr_sum2020/12/01;pr_mean2021/01/01;pr_sd2021/01/01;pr_max2021/01/01;pr_min2021/01/01;pr_sum2021/01/01;
2919553.0;201.99667;124.08006;446.46973;48.797607;9939.709;165.3977;71.49168;313.76697;66.29367;8103.004;68.72622;39.281322;157.79211;18.080261;3313.1877;135.83727;54.750553;255.28583;55.34526;6581.299;70.97474;40.392532;160.45752;23.13948;3439.3796;435.87323;175.84251;816.57275;170.70673;21616.977;175.61484;78.12233;325.41016;67.1156;8385.207;147.6273;73.5514;287.16333;37.731262;7103.016;93.46268;61.67738;227.57495;16.802338;4616.329;193.16849;85.959175;371.3042;68.81677;9692.395;140.19461;86.35922;324.18262;24.641418;7029.0264;165.66714;69.626465;307.21448;61.939026;8174.1035;269.30643;83.87191;431.3047;127.22768;12990.209;247.38014;95.13314;432.34525;98.21521;12102.321;67.39846;41.72388;157.93848;13.5230255;3261.0571;119.00046;77.25307;273.7417;21.335266;5809.412;64.8918;60.1188;194.63177;11.730652;3211.452;333.89108;81.13631;492.29956;172.77512;16257.447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;225.42267;123.36574;477.0078;49.51529;8624.941;299.67908;123.05955;534.3357;95.18428;11306.365;77.206474;43.18921;168.74219;13.654907;2910.6174;114.40901;66.40937;274.30127;38.124023;4687.153;90.60242;67.588326;258.45514;11.161011;3607.291;296.76926;127.65365;590.38745;118.27161;12138.25;260.4836;106.60311;481.74756;100.520874;10023.039;166.74615;94.45475;355.07104;29.792236;6416.377;140.47293;69.43404;288.47217;24.424316;5284.1543;289.9364;124.03553;570.1494;105.86621;11393.323;224.2189;101.7664;435.07104;89.67322;8880.93;157.84569;86.09083;342.06525;49.669586;6218.516;294.2724;129.37553;557.3745;105.75864;11443.143;176.93414;89.386696;354.77527;57.313843;7091.404;79.9056;56.58923;207.88168;12.816925;3149.6086;186.93318;65.448166;292.9368;78.173996;7421.1436;263.4628;63.708893;362.50812;150.03088;10313.886;338.33795;71.88117;453.85828;230.74706;13330.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;149.19077;66.632866;257.94458;65.536804;2502.578;272.5232;90.68589;433.17188;163.17822;4651.347;83.96362;39.37514;149.18951;37.946716;1408.2684;241.46921;91.90025;398.2174;116.158936;4143.768;185.70471;67.147896;296.38583;98.71936;3143.6396;449.23636;136.57751;669.5192;237.41727;7613.3594;227.21085;90.19121;380.79175;104.01172;3764.3857;196.65222;88.87325;340.45398;56.40512;3319.7263;170.1684;71.77128;293.0746;71.317474;2919.3975;257.6437;113.47565;446.2881;88.236206;4347.7617;326.3158;100.30122;496.40234;167.32678;5541.7266;207.68451;81.416374;339.97656;89.59201;3491.7842;277.63696;94.45465;440.88586;131.7649;4684.4053;201.97113;75.11617;332.67773;99.440125;3422.4246;114.923805;50.6609;201.77069;51.92993;1940.3112;148.24702;62.806366;246.80518;65.74129;2536.961;245.86218;70.225296;342.31104;124.93359;4070.0818;340.28195;83.41745;478.4851;227.78683;5823.562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;170.31964;50.64872;260.19165;103.686874;2654.8809;298.61435;88.13393;457.21777;191.52335;4791.4204;70.93385;34.346153;138.34406;32.72885;1162.5159;290.80118;61.383568;408.31396;209.104;4668.7783;198.63847;63.670605;307.8557;110.82658;3161.703;442.06915;86.16569;585.2656;319.49872;7206.6855;154.13896;55.074707;249.42627;86.4518;2457.5671;186.7449;58.92784;293.66357;115.71185;3020.6465;166.497;51.528;261.96802;100.32974;2674.2017;263.57556;74.9061;389.67993;163.65115;4171.5312;304.77;88.88957;471.48315;187.14185;4945.1035;212.53941;65.941284;324.99905;124.26166;3353.508;252.57043;94.58871;407.41992;131.86447;4026.61;167.97314;47.984425;279.22607;117.34137;2829.5073;103.91153;36.84029;185.46231;65.23121;1699.0446;171.04457;45.38896;285.88257;125.61423;2758.277;202.9966;48.895382;292.03125;141.51337;3263.7722;378.10263;58.089073;470.72244;287.38885;5946.043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;268.08127;142.60667;604.04663;45.61087;24099.814;290.3017;142.64256;656.8568;64.415375;26700.207;72.74807;57.671047;247.5181;8.99585;7013.537;182.50272;93.95127;415.20703;45.755844;17458.986;148.99046;96.462975;415.9417;29.59491;14605.668;206.03232;103.858444;485.37598;58.26465;20044.834;179.00888;97.58491;427.89758;37.219757;16542.736;262.14258;137.9969;572.61523;38.73474;23342.982;202.75304;116.51349;515.68164;36.278168;18892.182;264.60657;132.373;565.0273;48.263977;24077.996;209.40517;108.62807;537.46094;45.89435;19582.738;224.48476;121.997635;543.7758;55.251953;21280.363;262.66516;143.61362;636.875;67.02762;25482.85;184.99101;105.11572;441.81482;34.746307;16930.66;172.47755;91.793205;399.16406;40.725494;15792.052;178.71037;90.22332;408.6123;46.96048;16618.92;233.8732;111.02892;508.89914;49.15857;21903.45;196.35538;113.76884;468.99512;39.324448;18366.281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;288.03732;144.63797;609.3811;38.073578;29489.273;305.55426;169.4037;712.8926;57.06807;32434.324;104.0212;65.623436;268.70978;6.7504883;10761.495;205.8859;119.763916;488.17285;20.770203;21909.053;192.91914;123.15018;480.15753;24.931427;20148.014;264.115;143.00043;667.3921;59.41745;28345.586;159.63547;107.49631;464.0254;16.401947;17478.996;196.48074;133.85063;533.381;13.683502;20783.354;206.86554;120.34799;492.7754;16.30188;21589.771;249.00008;149.585;618.8053;35.212708;26434.11;252.10767;161.1232;638.5488;35.80835;27325.113;239.51903;132.56038;579.395;37.616486;25252.125;263.1584;148.0455;659.5078;60.83841;28717.615;168.18654;125.006065;489.11572;14.895721;18399.83;175.77399;103.12192;438.25684;39.85309;18685.646;215.77516;120.70753;509.50098;29.399933;22436.977;255.37296;145.81058;597.90015;40.321198;27191.848;296.38678;148.4139;602.86646;40.792908;30913.645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;152.99072;43.26073;197.00848;98.23215;758.319;294.32465;87.0094;382.73853;183.68954;1435.6428;64.183174;22.368923;88.377686;37.911377;317.09375;290.74545;64.44846;345.41064;193.09888;1394.006;186.64227;67.98017;258.5107;104.73471;919.96674;447.76126;89.80736;534.1621;331.34015;2157.4756;154.24536;52.504868;218.82007;95.88574;808.2591;172.19238;55.696335;245.59402;115.97342;858.9617;157.68944;38.61572;202.74829;117.61487;795.8469;262.21036;75.42232;344.51147;172.75818;1311.4226;301.6;90.80834;406.84717;201.23328;1514.2327;205.35898;64.3215;267.01132;119.803406;1021.2689;237.23434;97.022026;348.36523;130.50041;1205.2308;191.51251;57.367157;253.29565;123.994;927.3559;112.634415;53.324562;170.348;54.38669;555.7584;159.90952;9.875858;174.85373;149.52316;801.04297;198.22467;38.464138;248.67737;157.8103;994.6515;389.60114;48.91074;451.68896;334.8001;1946.4275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;188.2976;52.750793;290.80957;119.25949;2283.4326;244.21841;50.6953;337.05188;177.39775;2975.8535;86.86947;16.323027;117.74567;62.29895;1044.6633;218.6691;66.169586;350.01404;146.61182;2726.6929;173.41577;42.339344;240.50671;111.15085;2091.0447;374.55032;78.37849;524.1369;272.0066;4560.016;213.68097;52.981987;296.5301;136.55115;2534.3381;188.90555;49.835213;279.00244;120.36337;2279.439;224.18843;59.4083;322.25305;121.11731;2665.7754;198.46127;67.00592;317.21118;107.284424;2409.6865;333.32233;72.4342;437.8755;221.69714;3981.7212;203.03818;58.148987;303.8771;126.433685;2441.2454;345.3545;68.15298;453.45374;237.71458;4109.916;175.95363;42.611088;250.1336;120.34186;2127.755;112.200096;25.71963;153.19653;67.79855;1347.7654;154.49109;46.335743;232.71161;85.65004;1874.9937;226.55795;58.416;326.14893;136.97049;2723.1174;285.82416;81.404274;412.86493;153.11469;3395.0928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;163.46877;33.744457;208.44067;124.87552;965.40247;288.70856;56.423496;371.12207;229.55042;1754.502;82.51911;28.425447;126.88281;54.147705;494.4568;308.71277;36.470406;357.09424;263.62427;1852.646;195.01462;45.5511;256.48413;142.60616;1169.114;468.7029;50.95239;547.65625;414.33228;2845.6716;159.16284;33.55349;207.59778;122.65112;949.1255;200.98375;40.454765;256.18665;154.90631;1206.7825;178.64378;33.479202;226.4408;143.1264;1070.0833;254.96562;46.008137;327.64258;211.1076;1550.2023;319.4301;53.862183;396.08282;258.16235;1913.835;195.36365;33.118828;243.66248;153.10794;1173.576;257.37714;62.43579;347.66602;195.8717;1524.3115;185.7106;33.79666;243.09424;153.30043;1129.9567;106.05107;23.172888;142.06651;84.5137;642.20154;165.69319;19.501621;191.66959;140.10696;998.4501;200.78265;9.134018;212.1018;190.06421;1203.9583;343.5428;16.530266;367.79312;325.06668;2065.546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;170.08784;87.35967;368.02924;40.91353;6891.849;253.43697;114.96169;538.04004;94.60986;10445.176;108.64369;44.861076;198.4674;16.755615;4125.3228;186.52443;101.61133;415.54272;40.41736;7501.0664;175.66197;81.2207;360.54987;54.96319;7042.645;358.49625;140.848;696.2103;167.67084;14567.885;216.52205;106.65361;464.63574;50.197998;8672.687;205.78477;98.59089;435.9784;41.718475;8056.1055;178.03807;78.277794;344.85083;54.870483;7070.333;196.10608;113.71464;466.40527;53.572083;8283.938;338.38354;108.97111;536.604;119.66492;13209.451;214.08252;78.94331;391.52637;83.5269;8591.471;310.1373;117.66152;581.98816;116.05835;12355.043;189.16737;76.256676;350.53247;65.49643;7409.957;93.311935;56.960075;225.9502;13.9079895;3781.6921;154.90874;74.962425;310.26007;58.152817;6264.1963;234.44463;77.38599;388.3366;106.37186;9443.293;300.63046;94.485176;519.0646;154.24014;12252.762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
