Código Município;ETo_mean2014/11/01;ETo_sd2014/11/01;ETo_max2014/11/01;ETo_min2014/11/01;ETo_sum2014/11/01;ETo_mean2014/12/01;ETo_sd2014/12/01;ETo_max2014/12/01;ETo_min2014/12/01;ETo_sum2014/12/01;ETo_mean2015/01/01;ETo_sd2015/01/01;ETo_max2015/01/01;ETo_min2015/01/01;ETo_sum2015/01/01;ETo_mean2015/11/01;ETo_sd2015/11/01;ETo_max2015/11/01;ETo_min2015/11/01;ETo_sum2015/11/01;ETo_mean2015/12/01;ETo_sd2015/12/01;ETo_max2015/12/01;ETo_min2015/12/01;ETo_sum2015/12/01;ETo_mean2016/01/01;ETo_sd2016/01/01;ETo_max2016/01/01;ETo_min2016/01/01;ETo_sum2016/01/01;ETo_mean2016/11/01;ETo_sd2016/11/01;ETo_max2016/11/01;ETo_min2016/11/01;ETo_sum2016/11/01;ETo_mean2016/12/01;ETo_sd2016/12/01;ETo_max2016/12/01;ETo_min2016/12/01;ETo_sum2016/12/01;ETo_mean2017/01/01;ETo_sd2017/01/01;ETo_max2017/01/01;ETo_min2017/01/01;ETo_sum2017/01/01;ETo_mean2017/11/01;ETo_sd2017/11/01;ETo_max2017/11/01;ETo_min2017/11/01;ETo_sum2017/11/01;ETo_mean2017/12/01;ETo_sd2017/12/01;ETo_max2017/12/01;ETo_min2017/12/01;ETo_sum2017/12/01;ETo_mean2018/01/01;ETo_sd2018/01/01;ETo_max2018/01/01;ETo_min2018/01/01;ETo_sum2018/01/01;ETo_mean2018/11/01;ETo_sd2018/11/01;ETo_max2018/11/01;ETo_min2018/11/01;ETo_sum2018/11/01;ETo_mean2018/12/01;ETo_sd2018/12/01;ETo_max2018/12/01;ETo_min2018/12/01;ETo_sum2018/12/01;ETo_mean2019/01/01;ETo_sd2019/01/01;ETo_max2019/01/01;ETo_min2019/01/01;ETo_sum2019/01/01;ETo_mean2019/11/01;ETo_sd2019/11/01;ETo_max2019/11/01;ETo_min2019/11/01;ETo_sum2019/11/01;ETo_mean2019/12/01;ETo_sd2019/12/01;ETo_max2019/12/01;ETo_min2019/12/01;ETo_sum2019/12/01;ETo_mean2020/01/01;ETo_sd2020/01/01;ETo_max2020/01/01;ETo_min2020/01/01;ETo_sum2020/01/01;ETo_mean2020/11/01;ETo_sd2020/11/01;ETo_max2020/11/01;ETo_min2020/11/01;ETo_sum2020/11/01;ETo_mean2020/12/01;ETo_sd2020/12/01;ETo_max2020/12/01;ETo_min2020/12/01;ETo_sum2020/12/01;ETo_mean2021/01/01;ETo_sd2021/01/01;ETo_max2021/01/01;ETo_min2021/01/01;ETo_sum2021/01/01;
2919553.0;144.48772;3.817437;153.00078;138.36624;7098.3022;135.3912;3.1463149;142.71323;130.0629;6643.4814;160.2353;2.9403944;167.6779;155.55707;7865.459;157.39294;3.4466228;165.44305;152.28651;7729.673;173.55067;3.4144964;181.69038;168.61075;8526.261;110.716354;2.849559;117.339386;106.17714;5434.7476;148.80469;3.37978;155.20232;142.47879;7287.7227;149.97005;3.5483744;157.72855;143.11679;7349.9707;143.04378;4.390467;152.43819;135.56262;7026.047;128.7865;4.4644227;137.71802;120.70977;6324.3877;124.35925;3.9211185;131.58739;116.79587;6108.232;134.0005;4.6111574;143.6893;125.78065;6596.192;121.80654;4.2714562;131.10617;114.48432;5993.723;124.133484;3.9764702;132.60953;117.366264;6100.5767;146.54692;5.29064;157.60233;138.00705;7218.7656;148.06955;5.080777;157.58167;138.20694;7281.699;154.08963;5.0213804;162.98338;144.95338;7565.393;127.559166;3.2125826;133.94485;121.17535;6255.674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;121.376076;2.976533;129.54828;115.13982;4737.813;117.52875;3.2604895;125.67697;111.02374;4597.051;159.59262;3.4206657;167.50565;152.7619;6236.0083;140.50276;3.5893345;149.96597;133.68376;5492.537;149.51523;3.5528347;159.31949;142.5552;5841.1626;107.09172;3.107454;114.50095;100.243034;4185.015;116.89959;3.1092508;127.77454;112.27602;4575.7485;142.60596;3.9882038;152.35123;135.50418;5583.286;139.5932;3.759939;149.42767;131.83682;5449.861;115.198875;3.7550004;123.45999;108.958496;4514.408;117.79746;3.8373823;125.84858;111.100395;4612.37;138.32512;3.8567197;146.7897;132.28177;5423.0356;109.5284;3.1743898;116.408356;103.93892;4282.882;132.23871;3.9879375;141.66231;126.617714;5192.069;158.33504;3.516178;166.27861;151.81781;6192.268;136.48384;3.3778749;143.39818;130.03024;5334.578;140.45436;4.540329;149.7818;131.39923;5492.702;125.43844;3.3122218;133.239;120.261826;4919.4814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;119.71331;3.103077;125.24465;115.32167;2040.455;115.550705;2.7720075;120.68694;111.78888;1970.3293;154.44257;2.7913976;159.36243;149.98679;2630.254;139.22385;2.6850204;144.31238;135.45598;2370.9917;138.18416;2.8361328;143.0086;133.87457;2352.759;104.255905;2.8652077;108.60478;99.24086;1774.3986;112.31478;2.8315783;117.370926;108.427605;1912.599;136.86537;2.4564285;141.15822;133.07999;2328.2637;131.47533;3.5650015;137.06494;125.89945;2236.6318;117.858826;2.3151414;121.98672;114.256714;2007.7457;112.847694;2.445095;117.2177;109.15951;1922.5349;134.06276;2.840587;138.52043;128.71927;2281.4807;105.04488;2.2266088;109.14856;101.586;1788.306;137.2926;2.4316359;141.8572;133.68742;2339.7163;149.73268;2.4024608;154.57358;146.32198;2551.338;130.93481;3.0416682;136.47478;125.99511;2228.0962;133.77318;3.1114;139.71524;129.3368;2277.3672;123.494156;2.5338547;127.76087;119.31347;2102.931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;123.897675;3.7591872;129.13525;117.4466;1975.1953;119.97483;3.4033315;124.67219;113.742096;1911.3826;159.77748;3.49828;164.73703;153.57043;2548.5781;142.83954;3.4198792;147.4186;135.96774;2276.2417;140.84407;3.5855403;145.94684;134.35326;2245.415;106.9722;4.0925875;113.378685;101.0144;1710.348;114.96082;3.648166;120.268425;108.32538;1830.6865;139.35487;3.7978623;144.69849;132.50804;2220.2678;133.3456;3.405584;138.21718;126.68932;2125.8992;123.968506;3.5560598;128.71606;116.60676;1970.8583;118.778755;3.9812665;124.414955;110.64045;1889.2103;137.44124;3.373722;141.79016;130.36833;2188.968;109.89215;3.2487257;114.04291;102.95783;1745.9915;145.02397;3.764358;149.9132;136.71265;2306.1987;154.6341;3.4267328;158.84348;147.43483;2462.5024;137.66281;4.1884804;142.97205;129.05193;2189.3105;139.114;3.4393764;143.31343;131.56963;2213.1877;129.334;3.7526252;134.72775;121.754135;2059.3706;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;122.217316;4.999895;133.9701;112.46187;11388.89;127.69632;5.488471;139.88635;115.03172;11872.237;161.94934;5.498153;174.09277;150.37659;15075.625;131.39418;4.6943808;142.6491;122.84649;12240.763;134.94078;4.5718284;146.03442;126.59172;12573.581;120.95473;6.6301455;135.86133;107.07144;11233.533;125.696976;5.2014856;138.77377;116.97765;11716.661;131.4592;5.838112;145.86047;121.06721;12251.566;119.86667;5.4899216;132.19243;108.79773;11159.236;127.63638;5.740963;140.33522;117.39061;11884.948;122.832016;6.608625;138.75089;110.72345;11437.315;132.39943;4.80734;142.99608;122.599075;12315.631;115.22328;5.190929;126.63242;104.471436;10706.695;147.33842;5.8659225;161.26448;136.15025;13707.269;147.85458;5.163641;160.96672;138.6243;13778.007;125.305405;6.1422915;140.27577;114.38215;11706.382;133.17879;6.721175;149.04886;121.13101;12416.978;131.43721;6.2750793;146.95087;120.38861;12250.816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;120.43018;4.962933;132.80222;112.045555;12931.174;121.42417;6.18752;134.43536;109.05577;12989.511;161.93423;6.1631374;175.52193;150.07747;17348.73;131.38396;5.411906;145.12097;121.96704;14095.613;132.64252;4.712777;145.0349;124.45499;14243.044;115.232704;6.310901;126.85338;100.80249;12309.895;123.358734;5.265871;135.79575;113.41816;13208.028;131.65463;5.8094244;145.95874;120.94854;14131.861;118.6538;5.7281685;132.44724;108.329895;12738.763;127.263214;6.0119357;139.10777;115.67524;13619.722;121.65158;7.0664783;136.77911;109.393295;13025.809;132.444;6.0589676;145.94008;122.52105;14203.28;113.89869;5.985721;125.824005;101.28837;12177.263;146.59616;6.8597627;160.96066;133.69603;15697.987;150.293;5.832281;163.97017;140.76285;16120.359;128.8705;8.211501;147.92137;116.45418;13861.342;127.082886;5.97996;141.86356;117.47412;13665.695;126.920715;6.6466136;141.40955;115.38386;13625.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;122.98784;1.0403461;124.15847;121.70417;614.76215;119.23164;1.0094073;120.375145;117.91302;595.94745;157.253;1.0613889;158.41527;155.8167;785.9718;141.75957;0.8000033;142.66077;140.65988;708.7164;140.37021;1.0206572;141.49652;139.12306;701.74713;104.740295;0.7952184;105.65274;103.72802;523.5449;114.4446;1.233842;115.77859;112.92328;572.1947;137.89838;0.96148556;138.97772;136.6628;689.36725;132.62207;0.9100741;133.66882;131.44954;663.0146;122.184296;2.506105;125.36071;119.111946;611.3362;117.264694;2.3885264;119.68887;113.56424;585.13;135.7514;2.1993215;138.49261;132.9181;679.01984;109.27236;1.9076694;110.912605;106.101616;544.42554;143.77475;2.3440595;145.78162;139.80699;716.6558;154.43587;1.978233;156.57455;151.80344;771.2391;135.61884;3.45903;139.15352;130.56908;676.5526;138.70093;2.2627633;140.79654;135.07513;691.9672;127.91707;2.5428674;130.3163;123.85669;637.8794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;122.33832;1.9707652;125.97838;119.290794;1471.7975;118.11024;2.0219953;121.61035;115.14113;1420.4197;157.27672;2.048947;161.04153;154.28333;1893.7415;140.05884;2.3073716;144.27866;136.77328;1687.3153;137.16794;2.292048;141.89932;134.31807;1652.9238;110.7169;2.3638427;114.653725;106.87481;1330.0306;112.4871;2.2240663;116.74214;109.42806;1355.0703;138.21109;2.1942363;142.04404;134.64487;1662.6312;131.26239;2.2179937;135.56636;127.92679;1579.4484;118.403656;2.1490238;122.58623;115.053055;1423.7711;116.04407;2.5790827;120.68032;112.17825;1396.5421;133.88058;2.494343;138.78618;130.19344;1611.5331;105.274185;2.2997346;109.82746;101.90208;1268.1261;140.77016;2.4267154;145.58426;137.24266;1696.0515;149.83066;2.1013205;153.97052;146.65381;1803.8715;131.1829;2.4529436;136.01971;127.74288;1579.0931;133.73605;2.1989107;138.10532;130.72202;1609.7388;125.06592;2.4037654;129.7608;121.59386;1504.0319;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;123.424034;2.0029993;125.46605;119.99637;739.0073;120.33364;1.9890189;122.23422;116.79874;720.07715;160.62286;2.5065715;163.04796;156.15744;960.7919;143.52728;2.464055;145.866;139.13858;858.38513;140.4944;2.2145863;142.71353;136.70674;841.1136;109.189674;2.192986;111.506195;105.49293;653.57117;114.32442;2.3176203;117.008484;110.47792;684.6522;139.46008;2.449193;141.98062;135.23534;834.5733;133.59573;1.9366727;135.61116;130.22635;799.5579;122.335106;3.0415123;126.27097;118.08171;732.9047;117.538605;3.505075;122.241394;112.56211;704.1009;136.71338;3.074428;140.68207;132.28517;819.0577;108.18067;3.240024;112.43671;103.48575;647.46027;143.49805;3.8948689;148.79773;137.76811;859.37506;152.94945;2.8338685;156.29596;148.59514;915.20123;136.1284;3.5626626;140.66357;130.7825;814.7529;137.78528;3.0502195;141.56273;133.07527;824.966;127.98712;3.4372652;132.59348;122.88402;766.1798;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;122.6846;5.0633526;132.16945;113.86401;4907.025;116.519745;4.2763457;125.041374;108.85753;4663.478;158.47511;5.6282654;169.02733;148.81781;6347.0635;141.20886;5.8882017;152.12921;129.5107;5648.728;141.31978;5.235888;150.42854;131.58983;5651.81;109.02736;4.6193075;117.99412;101.00409;4360.8315;113.490036;5.567666;123.574585;103.0091;4542.382;139.78864;5.2274165;149.57254;130.77661;5599.745;132.95332;5.8666835;143.86714;122.70334;5323.124;118.67062;4.893603;127.759346;109.407616;4743.5493;114.91263;4.8484774;124.41762;106.80094;4604.597;136.77222;5.4692316;147.62276;127.90418;5483.617;105.177124;4.8570886;114.77129;96.713326;4209.688;140.05975;4.5045285;148.13304;132.02328;5602.6865;152.57224;5.3980346;162.81664;143.16444;6114.7773;132.1931;5.4111524;143.22285;122.202065;5298.4585;134.04391;4.9506297;144.02466;125.70968;5373.844;126.4059;4.979623;136.08545;117.61377;5056.734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
3170206.0;130.79199;5.7502546;141.95999;119.77626;7585.2637;130.0327;5.555112;140.91214;119.508934;7543.252;169.65584;6.055721;180.37175;156.80104;9818.432;145.0562;5.752884;156.01636;133.19562;8408.985;142.58861;5.8431435;153.80385;131.53151;8275.725;118.9973;5.4781876;129.82129;108.22452;6902.5454;128.35051;5.465923;138.73312;117.75653;7448.1934;144.20047;7.01647;159.0664;132.34369;8395.468;130.6313;5.9838376;142.1546;119.500336;7590.7676;131.1247;6.018087;142.05661;119.16848;7602.0205;129.22894;7.4366775;142.1942;115.652336;7501.6704;140.654;5.696579;152.41042;131.27777;8173.0596;119.86356;4.866322;129.2957;109.930466;6949.4834;154.34262;5.823307;165.20534;142.47678;8956.011;161.97345;4.229526;170.52911;152.935;9390.905;142.5602;6.0624075;154.28217;130.51761;8270.428;138.76022;5.0849133;149.52393;128.74686;8052.0986;131.05508;5.9073668;143.13194;119.383316;7611.3555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5000609.0;132.53934;4.300732;141.37804;125.49207;7436.42;146.26625;4.480414;155.77908;139.04059;8207.477;151.25398;4.2330594;160.97626;144.3355;8487.201;115.83439;3.8741758;123.948044;109.694954;6494.055;128.28271;3.6272812;136.14107;120.57604;7185.395;143.79478;3.1900804;151.62442;138.31706;8062.566;150.43579;3.569245;159.31477;144.43697;8447.678;140.9055;3.2694812;147.9332;135.29686;7902.9897;159.15984;4.155218;168.01796;151.83873;8923.383;131.44939;3.6370304;139.2026;124.29445;7364.442;130.93005;3.83948;139.14935;123.76616;7340.152;126.468124;3.8477201;134.61943;119.62697;7091.3325;142.6181;4.3679943;151.75696;134.38458;7984.7983;169.27411;5.8734665;182.1547;158.33534;9483.686;169.12444;6.016065;180.87419;157.40848;9471.814;165.13318;5.995911;175.46307;153.4246;9240.275;143.47226;6.104262;154.41739;132.102;8029.555;148.41522;4.6877003;156.45131;138.3191;8303.182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002209.0;129.85577;3.336614;137.07613;123.42323;8453.885;143.70047;3.57038;151.80257;137.353;9354.706;155.65254;3.8298137;163.9238;149.40575;10139.369;134.00555;4.385571;144.06747;126.75152;8737.271;143.68831;4.6087413;153.06316;135.63922;9358.911;126.5746;3.7695675;133.55992;118.838684;8233.733;140.4899;4.4361477;149.5242;132.64334;9149.272;144.61848;4.2781096;153.83214;136.78452;9416.18;156.00308;4.1235175;164.78311;148.75009;10156.08;137.42218;4.229486;145.74358;130.05165;8951.268;131.30927;4.2364826;140.12177;123.434685;8546.393;136.0183;3.872355;143.74207;129.11147;8850.336;140.36171;4.6036034;149.45218;129.5456;9107.548;170.22336;5.5181603;182.14485;157.93468;11048.605;165.91852;4.875929;178.3048;156.83855;10787.331;162.01491;5.5131087;171.0183;150.72281;10534.4;146.83038;4.5499916;155.22014;137.61166;9546.463;155.8696;4.1151633;163.35834;147.66989;10141.977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5006606.0;130.15868;4.508642;139.61467;122.04243;9919.458;142.36446;4.7887516;153.01747;134.68956;10854.14;149.05244;5.077926;160.56377;140.3954;11362.123;123.06898;5.76689;134.80199;113.4;9386.963;133.11252;4.56121;143.64948;125.42836;10154.969;133.60416;4.6843767;142.77164;124.79303;10159.581;146.95879;4.422554;157.27281;138.93993;11191.067;139.1494;5.092595;149.6806;130.57614;10605.827;157.01225;5.1385827;168.49028;148.2536;11962.535;132.40892;4.423134;142.19263;125.1532;10097.459;131.07924;5.2551928;141.11073;121.7562;9969.441;125.99878;4.8011746;136.23639;117.119606;9604.7295;136.1701;7.526725;153.01566;124.17803;10411.383;168.1222;6.470511;184.0541;157.73207;12848.844;164.29814;6.9319267;181.33806;153.15224;12558.483;158.82878;6.123746;173.23723;148.76515;12104.036;139.305;5.9498296;152.50859;129.59125;10612.952;145.7272;5.1429386;157.9315;137.5981;11123.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002704.0;135.22154;5.7521033;149.25783;124.38224;13662.846;141.54152;7.8638372;159.61969;127.63903;14297.581;155.2318;6.9060206;172.41208;143.25215;15704.494;134.74355;8.006552;149.95596;117.218315;13633.843;139.95755;7.1761146;153.67506;124.670456;14168.065;126.6319;6.516056;143.277;116.3129;12804.547;147.86674;6.9038587;167.09412;136.71786;14952.766;138.93845;6.2553525;154.43513;127.93038;14050.881;147.68245;6.1976595;160.35335;135.67795;14908.717;142.88571;5.4106317;154.63855;131.82051;14448.369;132.5465;6.3959923;149.2999;122.05911;13410.711;131.97644;6.4742017;147.62758;120.0373;13357.716;130.17628;9.273826;151.62492;115.65846;13184.663;157.35635;11.588144;183.62431;138.13269;15933.314;157.28928;9.01274;177.2648;140.87813;15907.853;154.07497;6.9024153;171.45459;142.45473;15574.264;140.93066;8.231968;158.54031;125.57693;14253.142;151.48582;6.0561476;165.70477;140.11574;15330.992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5002951.0;123.90101;4.555276;133.1648;115.21037;6453.455;130.60152;4.7289906;141.80103;122.47678;6815.2485;163.1669;3.692466;171.35829;156.35628;8504.962;137.7979;5.044031;147.901;127.80604;7175.9326;143.45409;4.4130154;152.51889;135.43825;7469.6074;127.704956;5.052739;138.39925;119.49685;6664.571;139.25879;5.2031946;150.48384;131.01416;7261.807;143.95753;5.7503114;156.51431;134.01752;7507.3027;125.87985;5.0520625;135.02124;116.91674;6558.7183;139.45073;4.2470403;147.59589;131.35312;7256.5654;136.09134;5.027937;147.2033;128.81183;7099.0605;136.81703;4.8234773;147.03802;129.24193;7133.962;124.14176;4.4495134;133.67041;116.21542;6466.6177;157.87529;5.7840343;168.68538;147.85208;8225.518;157.66335;5.5222707;168.35118;148.32986;8215.686;140.41075;6.4872603;153.0281;129.4538;7324.534;150.02466;4.4971304;158.63521;140.04555;7796.4624;147.9488;3.8855088;156.41216;140.20818;7702.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005400.0;131.49545;4.235788;140.49574;122.992294;9218.815;142.4192;5.317831;153.42131;131.44661;9986.085;152.44783;5.6889715;164.36116;141.29538;10694.955;129.21785;6.9424634;143.17505;116.452736;9075.197;136.6211;5.486965;148.59653;126.223785;9600.598;127.08747;5.5463395;139.18315;117.44485;8918.971;144.41817;5.6321735;156.02727;134.27486;10127.323;139.15912;5.037439;150.78287;130.73566;9776.982;154.87332;4.7677317;165.93198;145.3865;10860.654;135.93567;4.3515353;145.64294;128.17119;9546.702;128.72089;4.868202;139.67572;119.37347;9036.937;129.28499;5.6956253;141.74217;119.27391;9082.348;132.82826;6.998491;147.98029;120.978905;9343.343;164.34288;7.297122;179.86209;147.2924;11529.459;161.70192;7.360232;177.44917;147.23189;11351.985;157.05606;7.13032;172.4649;145.06612;11035.083;141.33325;6.969196;155.07788;128.58887;9924.389;151.41873;5.9022093;163.74077;140.83562;10628.152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5005707.0;140.16893;4.5015116;148.92546;131.58604;6457.76;154.15646;4.5831375;163.62564;145.33858;7099.0283;159.9086;4.499613;168.82597;150.67123;7360.1587;118.1847;3.9526024;125.72589;110.55438;5437.8145;129.49231;4.65936;137.46866;119.84872;5952.076;147.17525;5.869336;157.0263;137.17009;6773.922;161.02596;5.851229;172.08475;150.95395;7415.3423;144.85875;5.0361195;154.77794;136.04004;6670.612;159.92665;4.1879086;168.27426;151.77948;7358.9844;130.70306;5.348649;142.51535;121.62987;6027.808;132.32861;4.2603536;141.10994;123.54446;6088.916;128.7534;4.6743107;136.60648;118.7548;5913.075;144.05525;4.342674;153.52516;136.58066;6635.695;171.76236;5.606665;183.17996;162.3833;7912.8076;173.21568;5.0475388;182.8512;162.89865;7966.4194;165.18202;5.017954;176.38745;156.18983;7609.637;140.22226;5.089795;152.98074;132.4752;6467.8535;146.83022;4.881295;157.86119;138.75053;6764.098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5007695.0;126.26094;4.826397;135.55798;117.85396;6567.0317;126.82771;4.8255105;137.50476;118.00017;6613.805;155.93202;5.275713;166.33167;146.81514;8127.92;138.12708;5.01687;147.20978;128.6148;7189.294;151.24199;5.271118;160.84215;140.84158;7877.1685;126.283134;5.492319;136.2223;116.23548;6578.09;143.57037;5.106959;153.38124;134.64832;7470.6323;135.8362;5.2510448;146.6318;126.95857;7091.004;136.53166;4.796989;146.76048;128.57352;7112.457;145.14803;6.135474;155.7552;134.43008;7557.5405;137.02657;5.7717776;148.10266;126.856155;7142.419;137.07153;5.2542734;146.94366;127.946556;7146.637;117.0634;5.295293;128.1066;107.75525;6104.86;150.39165;7.1166406;164.33495;138.14934;7858.8604;154.11273;6.2418656;165.28668;143.01161;8039.956;143.38995;4.9239316;153.24329;133.58691;7464.8984;134.9601;5.065996;145.08214;126.80592;7042.847;143.07039;5.2956247;153.93355;134.15567;7460.202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102637.0;123.43562;3.9857008;132.79637;114.89898;13709.697;112.85967;4.691975;125.23137;103.79896;12540.791;134.07668;3.9923463;142.77408;124.68515;14886.627;124.888374;4.8767676;135.87111;115.82775;13867.404;133.26439;7.9045672;152.49059;118.21776;14771.576;110.34735;5.4176054;123.86094;98.34328;12250.439;117.70526;4.9389806;129.55995;107.59023;13070.209;109.76102;5.3620367;122.1226;99.57631;12184.776;122.71816;4.931194;133.59853;112.596756;13621.937;122.08255;5.4798923;132.69495;108.36966;13550.831;116.31689;4.2217073;125.502014;106.086;12917.557;119.31897;4.296224;128.94424;106.5738;13247.682;111.4057;4.864555;122.56799;101.118416;12364.485;123.0129;4.6019783;133.20592;112.86244;13652.389;123.6054;4.397979;132.65121;114.40653;13711.976;125.63082;5.2526593;137.76189;115.25404;13965.463;126.799416;5.724286;138.82358;114.91753;14081.455;136.30856;5.2796197;149.17915;126.91274;15158.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5102678.0;124.44074;4.0339713;132.06172;117.13235;7722.177;114.75298;5.2182198;124.36693;106.6539;7127.234;132.95906;4.67215;142.28731;125.129654;8261.702;132.02544;6.693582;143.8265;121.02038;8192.792;134.86568;5.0914307;144.50389;126.163315;8375.167;108.35371;5.813494;118.356766;99.50111;6728.708;119.193436;4.4601245;127.31992;111.566505;7392.445;122.8257;4.1672187;130.67761;115.6993;7613.1685;124.07692;4.9518714;132.74208;116.4438;7695.847;129.02107;4.6699033;138.15198;121.54475;8024.131;114.694786;5.688334;125.7876;105.90971;7137.4893;124.923996;5.2886157;134.91217;115.53674;7763.167;110.80497;4.7253494;118.873344;101.30902;6866.6914;127.18006;5.324203;136.20404;116.21552;7880.447;135.05835;6.327922;146.19443;123.25442;8356.933;120.49433;5.6550765;130.75975;111.33042;7488.7744;125.80826;6.5854445;137.58069;114.84288;7798.634;129.32545;6.777502;140.69226;116.572975;8025.1416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
