Código Município;RH_mean2014/11/01;RH_sd2014/11/01;RH_max2014/11/01;RH_min2014/11/01;RH_mean2014/12/01;RH_sd2014/12/01;RH_max2014/12/01;RH_min2014/12/01;RH_mean2015/01/01;RH_sd2015/01/01;RH_max2015/01/01;RH_min2015/01/01;RH_mean2015/11/01;RH_sd2015/11/01;RH_max2015/11/01;RH_min2015/11/01;RH_mean2015/12/01;RH_sd2015/12/01;RH_max2015/12/01;RH_min2015/12/01;RH_mean2016/01/01;RH_sd2016/01/01;RH_max2016/01/01;RH_min2016/01/01;RH_mean2016/11/01;RH_sd2016/11/01;RH_max2016/11/01;RH_min2016/11/01;RH_mean2016/12/01;RH_sd2016/12/01;RH_max2016/12/01;RH_min2016/12/01;RH_mean2017/01/01;RH_sd2017/01/01;RH_max2017/01/01;RH_min2017/01/01;RH_mean2017/11/01;RH_sd2017/11/01;RH_max2017/11/01;RH_min2017/11/01;RH_mean2017/12/01;RH_sd2017/12/01;RH_max2017/12/01;RH_min2017/12/01;RH_mean2018/01/01;RH_sd2018/01/01;RH_max2018/01/01;RH_min2018/01/01;RH_mean2018/11/01;RH_sd2018/11/01;RH_max2018/11/01;RH_min2018/11/01;RH_mean2018/12/01;RH_sd2018/12/01;RH_max2018/12/01;RH_min2018/12/01;RH_mean2019/01/01;RH_sd2019/01/01;RH_max2019/01/01;RH_min2019/01/01;RH_mean2019/11/01;RH_sd2019/11/01;RH_max2019/11/01;RH_min2019/11/01;RH_mean2019/12/01;RH_sd2019/12/01;RH_max2019/12/01;RH_min2019/12/01;RH_mean2020/01/01;RH_sd2020/01/01;RH_max2020/01/01;RH_min2020/01/01;RH_mean2020/11/01;RH_sd2020/11/01;RH_max2020/11/01;RH_min2020/11/01;RH_mean2020/12/01;RH_sd2020/12/01;RH_max2020/12/01;RH_min2020/12/01;RH_mean2021/01/01;RH_sd2021/01/01;RH_max2021/01/01;RH_min2021/01/01;
2919553.0;2084.022;35.49203;2138.5625;2005.8125;2308.183;31.938688;2362.8125;2249.875;2037.9894;36.168777;2101.3438;1962.1562;1798.2969;32.98292;1865.4375;1738.8906;1802.8044;42.593952;1873.9688;1724.9688;2564.0188;28.354498;2608.4375;2516.5938;1904.2379;32.595684;1964.0938;1829.8125;2171.1404;35.064095;2238.3125;2117.5312;2248.16;52.872944;2325.4375;2120.4688;2100.2283;28.767197;2139.1875;2056.0938;2395.0503;30.838291;2445.0625;2340.2188;2321.4377;32.014248;2383.2812;2264.7812;2216.6455;33.685097;2294.125;2174.9375;2388.0884;39.112785;2451.375;2287.7188;2193.9363;76.389244;2279.5312;1972.4688;1956.4478;72.239685;2041.6562;1800.4688;2063.512;45.31118;2134.2188;1996.2812;2492.4768;23.387201;2526.4062;2427.8438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;2255.8325;24.529623;2305.0625;2194.3438;2436.8054;23.536692;2478.5938;2373.5625;1970.3583;24.990734;2039.4062;1927.3438;1993.9264;35.833244;2053.4375;1888.9062;2088.208;36.605953;2160.7188;2011.375;2618.6243;20.404705;2648.7188;2561.4688;2275.1064;42.649918;2312.625;2071.9062;2243.6558;32.40038;2274.8125;2099.8125;2203.8953;32.11148;2260.3125;2099.6875;2280.1711;27.015387;2323.4688;2238.7188;2400.3328;49.424774;2449.6875;2265.9375;2217.697;27.481287;2263.5312;2168.9062;2431.9812;18.632814;2466.9375;2406.1875;2280.8364;21.118721;2318.0;2249.5625;2001.596;37.749645;2082.2188;1942.3438;2053.207;28.719591;2114.9375;2029.875;2241.778;29.894415;2308.0938;2209.2812;2422.0154;22.415354;2461.0938;2395.3438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;2183.13;17.396358;2210.5938;2150.0312;2377.6008;14.911076;2405.7812;2356.375;2001.9668;26.495758;2051.3438;1965.4375;2056.213;17.049484;2074.3125;2018.5;2184.9177;19.925714;2206.7812;2132.3125;2568.175;15.20999;2600.1875;2551.5;2246.6738;20.200182;2271.9375;2208.25;2228.4006;17.970032;2255.875;2198.1562;2242.188;18.644693;2269.6875;2206.8125;2175.6016;18.047653;2199.4062;2139.5625;2416.202;15.329534;2444.5;2391.0938;2226.3027;21.1996;2266.5;2198.0938;2350.4058;15.456939;2373.4375;2323.3438;2206.0142;13.433977;2231.7188;2184.6562;2083.54;22.54333;2121.5625;2049.2188;2058.9563;20.644836;2084.8438;2007.4375;2249.2598;22.033886;2276.0938;2199.8125;2414.6375;16.20628;2442.5;2386.3125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;2173.2659;31.441816;2207.75;2111.6875;2385.867;24.735075;2420.5;2349.5625;2003.3805;42.5647;2058.5625;1934.8125;2048.769;28.965466;2090.7812;2004.7188;2182.3643;27.35765;2226.875;2142.8125;2574.8591;25.552269;2604.8438;2530.5;2236.8867;33.653587;2280.75;2183.4375;2231.8738;31.001394;2281.4688;2185.6562;2251.0017;31.140564;2298.6562;2206.6562;2166.7998;27.965405;2210.8125;2105.9688;2440.2651;23.90531;2468.0625;2383.8125;2253.834;25.441988;2292.2188;2203.1875;2354.4893;22.968588;2384.0625;2302.1875;2216.58;29.491655;2250.3438;2143.2812;2096.1252;33.049816;2141.3438;2031.125;2054.1035;31.642649;2095.25;1978.3438;2278.106;29.756733;2308.25;2209.0312;2428.5068;25.90448;2453.625;2361.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;2291.2395;37.240128;2363.9688;2225.25;2464.1367;36.465584;2533.9375;2397.2812;2152.1426;61.951923;2272.625;2052.6562;2271.9385;36.277958;2345.1875;2196.1562;2378.2046;33.237083;2444.5;2309.4062;2543.6282;42.210682;2606.75;2459.8125;2248.1997;49.59419;2327.6875;2157.9688;2437.3516;39.871002;2518.4375;2365.375;2485.3716;37.105778;2565.5625;2423.625;2202.2402;44.972492;2285.4375;2132.0;2466.4583;42.73045;2556.5625;2393.7812;2401.625;32.833168;2483.3438;2349.2812;2404.6785;32.8624;2468.6875;2346.1875;2258.214;45.314728;2330.0625;2174.6562;2274.0728;42.17377;2364.75;2203.5625;2211.6138;46.16475;2278.7188;2107.25;2390.82;33.08226;2449.3125;2328.125;2432.3662;39.25456;2490.625;2353.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;2267.9937;42.915436;2346.2812;2180.2812;2456.308;34.511105;2532.75;2395.1875;2096.4954;47.403862;2202.5312;2013.8125;2212.0278;49.407333;2304.0938;2123.5938;2342.195;39.335915;2420.75;2260.6562;2554.8333;41.25413;2654.875;2498.4375;2230.1345;44.309753;2306.8438;2146.0312;2400.4036;39.81524;2477.5625;2314.5938;2455.7036;40.7643;2536.0;2370.9688;2191.916;35.879967;2272.1875;2121.8125;2460.144;47.26538;2538.125;2373.875;2380.8477;46.48872;2453.0625;2292.1875;2390.9126;29.251513;2447.9375;2336.8125;2255.8245;48.233532;2337.375;2165.5312;2237.6904;40.435944;2311.8438;2146.1875;2166.5818;52.559006;2266.9688;2069.4375;2381.133;36.389698;2445.375;2304.875;2423.681;44.567017;2507.4375;2333.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;2185.7742;3.9894502;2190.2812;2180.8125;2391.6045;2.8792217;2394.8438;2387.9062;2029.4775;4.7188926;2034.5;2023.0625;2035.9674;4.1876545;2040.5938;2030.625;2173.0437;4.111918;2177.9688;2168.1875;2592.9834;2.4874537;2595.7188;2589.6562;2240.5193;3.5513768;2244.4688;2235.9688;2228.368;3.728825;2232.625;2223.6562;2241.5034;3.9081364;2245.9375;2236.5625;2168.283;21.409805;2190.3438;2146.0625;2433.3433;13.171619;2450.5;2422.125;2254.3076;18.574387;2275.0;2235.9062;2352.6748;18.999166;2372.8438;2334.1562;2222.0254;18.079649;2241.2812;2203.9062;2102.1855;9.750356;2115.4062;2093.4062;2060.315;18.714603;2081.0938;2040.25;2250.459;26.434101;2286.9375;2232.2188;2429.1445;17.01583;2448.875;2413.4375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;2147.3674;24.47094;2185.5312;2117.9688;2367.522;19.372757;2399.875;2347.4062;1931.5121;30.536985;1987.875;1901.75;2039.9034;29.139053;2085.0938;2002.6562;2183.4011;26.540844;2224.5312;2145.625;2532.806;14.86683;2559.1562;2514.9688;2237.2783;22.455437;2267.25;2205.125;2226.9275;22.141022;2262.7188;2197.125;2274.2703;31.265472;2322.0;2228.0312;2177.2966;23.915115;2218.9688;2142.75;2401.7754;24.878674;2445.8125;2373.125;2245.7778;26.87584;2288.375;2207.125;2338.5571;22.649292;2369.125;2306.1875;2161.114;27.476053;2201.3125;2123.8125;2048.9436;29.954538;2094.5938;2012.9375;2030.1407;27.42118;2065.0625;1990.8125;2241.0752;25.052597;2283.375;2213.0938;2391.156;32.8696;2434.9375;2342.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;2162.271;14.118711;2178.9688;2140.0625;2374.6768;13.519475;2393.5312;2357.6875;1975.1962;21.491653;1998.5938;1940.75;2054.1125;19.80325;2080.4688;2030.0938;2184.674;16.484034;2209.375;2165.25;2556.0515;10.516489;2565.5938;2537.5938;2237.9521;16.023062;2253.9062;2211.625;2229.0352;17.534502;2250.75;2207.5938;2258.6187;14.7319765;2279.125;2241.4375;2171.7822;22.292063;2196.0;2137.0;2427.8872;24.848587;2455.9375;2394.7812;2246.4922;22.70971;2276.6562;2220.25;2353.0637;22.480204;2371.0;2312.9688;2202.4434;31.71816;2227.1875;2149.0938;2080.8823;28.462337;2108.0938;2035.3125;2045.7633;31.865463;2073.9375;1995.5625;2262.881;29.352028;2293.9375;2224.0625;2417.962;26.65197;2437.4688;2370.8438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;2177.8733;54.92816;2277.0938;2098.0625;2391.952;48.040943;2483.0;2318.4688;1963.6105;59.16551;2077.4062;1876.3125;2040.9973;51.706505;2141.4062;1959.125;2179.652;42.612328;2262.3125;2114.5312;2563.2231;31.992872;2627.2188;2511.3125;2267.837;59.35978;2381.1875;2178.0625;2242.7488;44.93525;2329.2188;2173.3125;2255.7922;51.463615;2360.0625;2184.5;2205.4863;51.11143;2308.25;2126.3438;2422.7405;39.830345;2491.125;2344.0938;2232.7498;45.940323;2312.6562;2153.75;2375.5547;54.649418;2476.125;2299.0625;2196.4312;51.6205;2292.25;2122.3438;2072.4473;58.260918;2178.8438;1989.5312;2047.4321;50.463703;2149.2812;1976.875;2268.172;52.11948;2359.8438;2195.5625;2399.0703;43.92231;2481.9688;2334.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
