Código Município;Rs_max2014/11/01;Rs_min2014/11/01;Rs_mean2014/11/01;Rs_sd2014/11/01;Rs_max2014/12/01;Rs_min2014/12/01;Rs_mean2014/12/01;Rs_sd2014/12/01;Rs_max2015/01/01;Rs_min2015/01/01;Rs_mean2015/01/01;Rs_sd2015/01/01;Rs_max2015/11/01;Rs_min2015/11/01;Rs_mean2015/11/01;Rs_sd2015/11/01;Rs_max2015/12/01;Rs_min2015/12/01;Rs_mean2015/12/01;Rs_sd2015/12/01;Rs_max2016/01/01;Rs_min2016/01/01;Rs_mean2016/01/01;Rs_sd2016/01/01;Rs_max2016/11/01;Rs_min2016/11/01;Rs_mean2016/11/01;Rs_sd2016/11/01;Rs_max2016/12/01;Rs_min2016/12/01;Rs_mean2016/12/01;Rs_sd2016/12/01;Rs_max2017/01/01;Rs_min2017/01/01;Rs_mean2017/01/01;Rs_sd2017/01/01;Rs_max2017/11/01;Rs_min2017/11/01;Rs_mean2017/11/01;Rs_sd2017/11/01;Rs_max2017/12/01;Rs_min2017/12/01;Rs_mean2017/12/01;Rs_sd2017/12/01;Rs_max2018/01/01;Rs_min2018/01/01;Rs_mean2018/01/01;Rs_sd2018/01/01;Rs_max2018/11/01;Rs_min2018/11/01;Rs_mean2018/11/01;Rs_sd2018/11/01;Rs_max2018/12/01;Rs_min2018/12/01;Rs_mean2018/12/01;Rs_sd2018/12/01;Rs_max2019/01/01;Rs_min2019/01/01;Rs_mean2019/01/01;Rs_sd2019/01/01;Rs_max2019/11/01;Rs_min2019/11/01;Rs_mean2019/11/01;Rs_sd2019/11/01;Rs_max2019/12/01;Rs_min2019/12/01;Rs_mean2019/12/01;Rs_sd2019/12/01;Rs_max2020/01/01;Rs_min2020/01/01;Rs_mean2020/01/01;Rs_sd2020/01/01;Rs_max2020/11/01;Rs_min2020/11/01;Rs_mean2020/11/01;Rs_sd2020/11/01;Rs_max2020/12/01;Rs_min2020/12/01;Rs_mean2020/12/01;Rs_sd2020/12/01;Rs_max2021/01/01;Rs_min2021/01/01;Rs_mean2021/01/01;Rs_sd2021/01/01;
2919553.0;673.7422;617.375;644.86523;15.167431;651.03906;597.60156;624.5358;14.415137;755.5469;711.5703;733.5765;11.576982;687.0703;637.4219;664.62146;13.699193;779.3906;732.9922;757.68054;12.46339;542.72266;492.28906;517.26495;13.710339;647.08594;605.34375;626.3613;12.723174;702.41406;647.1797;677.71844;15.329414;694.4922;619.5547;656.0237;20.169668;600.6719;516.5156;562.3801;22.184954;605.5078;532.9453;569.3948;19.451603;674.02344;594.3125;633.0834;20.478518;585.4453;507.10938;539.7646;20.480831;622.3086;547.97266;585.515;20.405714;733.5;639.1719;687.84644;25.958319;673.53125;602.71094;638.45874;18.388485;697.7344;634.16406;665.50244;16.641447;635.45703;569.6992;603.7959;16.932344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;588.9922;525.1797;563.3887;13.46928;580.58594;522.8906;555.1168;12.7501335;756.34375;704.16406;741.1533;10.126112;648.89844;592.7578;626.2614;12.639267;711.33594;645.6797;681.6675;14.214832;528.5469;469.63672;504.69098;13.191729;553.7656;502.51953;526.90283;10.651883;693.03906;633.7969;668.86804;13.195841;676.7969;606.9922;647.22284;15.363204;544.0469;496.03906;517.8764;13.813265;567.0547;516.7969;540.585;14.166737;664.1094;620.6406;636.3971;12.509161;532.45703;485.65234;507.70456;13.632327;647.1797;587.3672;607.88855;16.981447;744.8047;697.8672;717.13556;12.905677;608.96875;570.46875;589.8753;10.883209;666.41406;595.7578;630.8355;19.570623;607.64844;566.8633;582.267;12.093763;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;572.53125;522.39844;545.8815;16.674128;559.59375;513.8281;533.923;15.198394;734.03906;695.96094;714.4847;12.948118;634.0;592.1094;612.0232;13.426928;644.34375;601.34375;623.1737;13.789847;504.91406;457.09375;483.22137;15.396414;520.5547;475.57812;495.59296;14.59218;647.3281;608.8906;628.1429;12.189218;636.3672;575.2031;606.1479;19.699015;546.3672;507.3164;526.9473;12.218204;542.0078;501.16406;520.9651;12.693107;650.28906;601.7031;629.3478;15.077414;494.60547;457.1211;475.51486;11.393304;659.2344;617.9922;637.0372;12.560446;709.03125;671.28125;688.71954;11.366325;595.2578;546.3047;572.0644;15.330444;632.7422;581.46094;603.94214;15.6289015;590.03906;548.6406;571.26074;13.320358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;587.71094;526.6719;557.376;20.365318;574.3867;518.73047;548.1894;17.538282;751.8906;700.6172;725.0966;16.825453;642.4219;591.58594;618.9168;16.056026;653.4297;596.7656;623.3213;18.780504;522.1719;458.40234;487.26492;21.354177;536.2617;474.61328;506.8687;19.072334;661.72656;602.15625;631.05457;18.83843;636.47656;576.2656;606.5155;18.293089;572.0781;514.28125;545.3178;17.19364;574.7344;502.39062;541.1218;20.995033;662.5156;603.2969;632.79865;17.193079;516.4297;459.04297;490.93112;16.884483;693.4531;627.375;664.36554;18.862186;725.3828;672.8828;700.1901;16.334822;622.33594;552.4922;590.73926;21.295864;648.39844;588.8594;622.9003;17.448017;621.3906;553.1992;589.72534;19.771294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;608.21875;509.72656;557.0434;27.005188;647.78906;529.27344;586.413;29.638828;796.3281;693.35156;744.21014;24.964462;639.6797;545.5469;591.2304;24.784597;663.7578;566.9922;612.032;24.457962;614.6172;491.0703;548.2689;29.902258;631.3281;536.1914;579.5322;24.04502;668.39844;553.8203;604.47906;27.792648;607.78906;498.0039;551.14453;27.771925;628.4297;525.2031;576.07947;27.44957;635.89844;509.83594;562.0725;31.006317;667.25;570.3047;622.31195;23.821083;574.3203;477.375;522.6323;23.453182;745.0781;641.8125;689.73676;25.167088;735.33594;639.1172;685.29486;23.725555;618.7656;496.79688;554.6521;30.028524;686.7422;548.5625;607.4835;35.012104;673.3594;544.40625;599.3277;32.127457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;603.71094;504.39062;544.5246;24.343748;619.83594;496.6953;552.70465;30.116589;793.1875;685.3672;738.2716;26.459227;638.7578;535.10547;577.8332;25.971197;665.7969;559.8047;603.50146;24.937346;581.09375;460.42188;524.3704;29.73212;616.4922;514.1836;564.1904;24.715471;674.89844;554.6406;607.6745;28.746159;615.08594;495.21875;547.62006;28.764883;620.7578;509.98438;570.9038;29.853708;617.25;501.6953;556.7032;31.357565;680.33594;576.85156;624.9732;28.731337;568.21875;457.6914;516.0346;28.57212;735.71094;627.1797;682.45123;28.963228;753.34375;649.09375;694.0889;26.442902;650.28125;511.3203;568.0057;35.847584;646.53906;524.8828;575.656;29.688229;647.22656;521.3828;578.3467;32.538387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;559.64844;550.7422;555.28705;3.7588603;550.16016;542.1836;546.34375;3.2718823;719.7656;713.3594;716.5686;2.7075512;618.8281;612.22656;615.4817;2.6465929;625.5547;616.75;621.3663;3.6472638;481.21875;474.28906;477.732;2.8222566;511.39844;498.3711;505.55698;5.610815;630.09375;621.28906;625.8725;3.5206513;607.78906;599.91406;603.86945;3.1948411;551.65625;530.72656;543.8779;8.443986;546.25;517.1406;535.39453;11.567436;638.0078;615.8594;627.9773;8.7581625;493.29297;471.84766;486.89975;8.688396;664.1797;639.25;657.5341;9.97894;707.59375;684.875;696.6026;9.714945;596.0547;558.7031;582.6434;15.169848;628.1094;602.2969;620.31714;10.387655;592.7422;564.4297;584.01416;11.256754;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;578.89844;545.52344;563.6022;9.961782;570.9922;540.9492;556.59625;9.627999;762.96875;732.9844;748.3045;9.232491;645.03125;613.66406;630.3183;10.106591;650.3906;615.64844;630.94745;10.391203;534.2422;496.26562;516.9572;11.656941;526.8008;492.5;510.0667;10.186285;669.5547;631.1719;653.4973;11.088369;644.5547;604.4219;624.7959;11.49782;561.0547;522.08203;542.5512;10.801124;566.65625;522.8047;545.01215;12.734397;671.3203;623.71875;647.1272;13.258159;509.375;468.6172;489.04337;11.343902;687.0;647.78125;669.3529;10.7944;733.96094;697.03125;718.33984;10.374308;604.09375;563.7422;585.2659;11.258807;642.39844;605.0781;623.37646;10.806086;605.28516;560.5;583.24554;12.599512;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;562.6875;541.46875;554.2466;7.5688715;559.4258;537.83203;550.7909;7.7831473;739.5469;718.75;732.45233;7.4580536;632.7031;609.1094;624.24036;8.589515;633.1953;612.28125;623.79254;7.5719867;509.1328;485.5586;499.36584;8.411467;515.6211;485.92188;503.07315;10.537146;643.5625;619.6172;633.75964;8.513223;620.25;599.64844;611.0024;7.5266876;559.15625;522.04297;540.0482;13.66702;559.41406;513.7344;536.5029;16.48573;653.9453;614.7344;634.2829;14.498326;503.65625;465.0547;485.65512;14.3006935;681.0703;638.1328;660.285;15.60915;709.4844;683.9219;698.3362;9.428144;606.3203;561.375;585.321;16.652197;637.8125;596.34375;618.50635;14.93935;604.53125;558.0664;583.3843;16.744665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;596.1172;516.9297;555.36957;22.96664;581.66406;502.70703;541.0446;21.515451;771.2031;699.375;734.04785;21.20425;666.14844;573.28906;621.25415;25.162964;677.3828;598.1719;639.4311;22.403221;549.3125;465.64844;504.68527;22.809248;544.66016;455.91016;498.47073;24.18991;688.03125;608.4531;646.9279;22.823645;666.3906;568.97266;618.4611;27.71389;568.52344;490.38672;532.0808;21.4529;577.84375;491.45312;532.88055;23.841581;697.875;606.4531;650.576;25.832932;527.90625;442.1289;481.52237;23.816355;693.52344;614.2344;653.8397;22.61581;758.6172;672.27344;712.1409;25.51945;622.5;533.8125;577.96643;22.917557;657.8828;573.4531;614.4115;24.411163;630.8672;539.65234;583.8138;24.567312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
