Código Município;Tmax_sd2014/11/01;Tmax_mean2014/11/01;Tmax_max2014/11/01;Tmax_min2014/11/01;Tmax_sd2014/12/01;Tmax_mean2014/12/01;Tmax_max2014/12/01;Tmax_min2014/12/01;Tmax_sd2015/01/01;Tmax_mean2015/01/01;Tmax_max2015/01/01;Tmax_min2015/01/01;Tmax_sd2015/11/01;Tmax_mean2015/11/01;Tmax_max2015/11/01;Tmax_min2015/11/01;Tmax_sd2015/12/01;Tmax_mean2015/12/01;Tmax_max2015/12/01;Tmax_min2015/12/01;Tmax_sd2016/01/01;Tmax_mean2016/01/01;Tmax_max2016/01/01;Tmax_min2016/01/01;Tmax_sd2016/11/01;Tmax_mean2016/11/01;Tmax_max2016/11/01;Tmax_min2016/11/01;Tmax_sd2016/12/01;Tmax_mean2016/12/01;Tmax_max2016/12/01;Tmax_min2016/12/01;Tmax_sd2017/01/01;Tmax_mean2017/01/01;Tmax_max2017/01/01;Tmax_min2017/01/01;Tmax_sd2017/11/01;Tmax_mean2017/11/01;Tmax_max2017/11/01;Tmax_min2017/11/01;Tmax_sd2017/12/01;Tmax_mean2017/12/01;Tmax_max2017/12/01;Tmax_min2017/12/01;Tmax_sd2018/01/01;Tmax_mean2018/01/01;Tmax_max2018/01/01;Tmax_min2018/01/01;Tmax_sd2018/11/01;Tmax_mean2018/11/01;Tmax_max2018/11/01;Tmax_min2018/11/01;Tmax_sd2018/12/01;Tmax_mean2018/12/01;Tmax_max2018/12/01;Tmax_min2018/12/01;Tmax_sd2019/01/01;Tmax_mean2019/01/01;Tmax_max2019/01/01;Tmax_min2019/01/01;Tmax_sd2019/11/01;Tmax_mean2019/11/01;Tmax_max2019/11/01;Tmax_min2019/11/01;Tmax_sd2019/12/01;Tmax_mean2019/12/01;Tmax_max2019/12/01;Tmax_min2019/12/01;Tmax_sd2020/01/01;Tmax_mean2020/01/01;Tmax_max2020/01/01;Tmax_min2020/01/01;Tmax_sd2020/11/01;Tmax_mean2020/11/01;Tmax_max2020/11/01;Tmax_min2020/11/01;Tmax_sd2020/12/01;Tmax_mean2020/12/01;Tmax_max2020/12/01;Tmax_min2020/12/01;Tmax_sd2021/01/01;Tmax_mean2021/01/01;Tmax_max2021/01/01;Tmax_min2021/01/01;
2919553.0;15.757587;941.34247;985.0469;916.0156;13.933499;920.4477;966.6719;900.0625;13.418449;990.7463;1032.6719;969.5625;14.256624;999.9241;1050.8438;980.5469;14.508005;1039.9255;1100.1562;1022.9844;13.646734;876.38257;923.46875;857.5;11.744803;957.6653;1003.8125;941.3281;14.307817;965.74854;1018.2656;946.4375;15.242792;971.79675;1017.3906;945.7031;15.686541;927.42365;978.125;905.6094;15.179375;932.887;967.0;904.4844;18.759552;929.8638;976.96875;898.6406;15.498129;905.6001;949.0625;881.3281;14.194459;909.52704;953.53125;887.2344;14.13811;970.5065;1021.34375;951.3594;18.684662;997.09106;1035.7812;962.2969;20.701843;1020.5331;1058.8438;982.0469;14.421215;937.6359;980.03125;913.21875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;24.085028;871.42194;933.4531;823.90625;25.747524;856.08405;917.9844;806.90625;24.349558;957.1504;1019.15625;909.5469;24.220387;958.1186;1019.7969;910.1406;23.765163;968.00745;1032.4062;920.5469;26.98975;860.9886;921.1406;810.5625;24.281866;865.957;926.21875;819.25;25.650898;915.3498;974.90625;868.8125;24.227245;932.4991;995.4375;885.375;26.054089;855.61346;917.4219;807.0156;25.736164;872.48846;938.0;823.1719;25.421751;907.1398;966.6875;861.7031;27.57104;834.34106;892.875;786.7656;30.28523;916.17065;978.1875;865.6406;25.39363;948.3018;1009.6406;901.375;23.810005;934.2387;994.65625;887.65625;25.524279;936.2129;998.4844;886.75;25.964596;904.2674;965.4219;855.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;14.995629;888.08075;924.75;875.0;15.134684;867.3417;904.4844;854.0156;17.470177;972.72375;1015.34375;957.5625;14.836212;950.0533;986.78125;937.3281;15.159144;957.39856;993.4375;943.5781;14.51886;858.15515;893.3281;844.34375;13.276112;859.28955;891.0;847.25;14.488232;918.1276;952.03125;904.4219;13.867284;918.048;950.0781;904.5156;15.478308;879.1403;916.0156;864.7656;16.881207;878.2178;918.4844;861.3281;15.024583;911.3856;947.1875;897.4375;14.649482;837.4773;871.8906;822.9844;15.823001;923.93164;963.4531;911.4219;17.145744;956.74023;998.75;941.625;17.286793;935.24084;977.5625;919.8594;15.554484;935.6437;971.75;920.5625;15.624305;908.4197;946.8594;893.8906;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;11.117622;938.84814;949.875;907.6875;11.36848;918.80676;930.4531;887.25;12.52146;1032.3983;1044.2812;997.3281;10.921459;999.71716;1010.7344;969.0;11.394755;1005.52625;1017.03125;973.6094;10.938249;907.2714;918.71875;877.28125;10.367804;899.251;910.1875;870.9844;11.68929;966.2547;977.96875;934.2969;10.921543;961.78986;973.21875;931.5;11.376413;930.2075;941.71875;898.3906;11.687988;932.9592;945.0;900.90625;11.497122;959.6367;971.21875;927.8594;10.649046;883.8129;895.0625;854.125;11.569759;978.3632;990.21875;946.3125;12.32671;1014.619;1026.5;980.34375;10.836766;990.4973;1001.9844;960.28125;11.154575;984.8514;996.6094;953.2969;10.852984;959.88403;971.53125;929.8281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;20.504702;913.3351;955.5156;859.3125;24.003809;921.6427;968.875;852.3594;21.236422;1009.01215;1059.8906;957.8281;21.750736;958.0697;1004.71875;904.6406;20.024118;970.2544;1015.34375;921.3281;24.175077;923.93115;972.53125;855.65625;21.190844;902.0252;949.875;849.2969;21.60286;936.48816;989.0;885.7969;20.799786;918.1336;966.5469;868.21875;19.596642;923.0266;963.375;873.5;26.054098;918.5133;976.15625;851.4531;22.146635;924.8178;974.3125;872.5156;24.00086;880.4492;926.9375;816.3906;24.202381;964.40424;1020.21875;906.84375;22.0125;974.7724;1028.7188;930.5781;23.807144;956.7011;1005.15625;894.8281;20.760155;958.63837;1003.5;909.0781;22.19525;955.9309;1005.5;906.8594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;23.531654;910.5457;963.46875;857.65625;24.186699;901.48615;954.3594;846.4375;22.476639;995.8616;1050.75;952.6406;24.656189;959.18536;1012.4844;903.125;20.683939;956.8164;1008.2344;918.4219;22.405148;904.4666;954.59375;850.125;21.342615;891.1018;941.53125;847.2031;22.002312;922.8241;976.8906;881.96875;20.897144;904.766;955.375;864.28125;19.988195;910.53516;958.125;870.875;27.09999;909.46375;975.3281;849.875;24.236044;917.72253;976.8281;870.7344;23.567045;873.64;924.2031;815.0469;24.869162;956.2675;1015.59375;904.03125;22.6379;975.6487;1028.1562;930.7031;23.7671;947.28046;1002.5781;894.8281;21.393684;951.09796;1000.7969;908.0;23.947357;946.6238;1002.0625;900.3281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;10.136194;933.56866;944.3125;919.40625;10.553629;913.3633;924.3281;898.4844;11.449974;1025.5798;1037.6719;1009.2344;9.965212;994.80615;1005.3125;980.9531;9.964003;1000.6688;1011.28125;987.0469;10.507183;901.6905;912.6094;886.7656;8.908256;895.61017;905.2344;884.0;10.164476;960.97394;971.9219;947.2969;9.467785;957.35333;967.5781;944.7969;10.147124;924.8458;935.5625;910.6719;11.076279;927.0856;938.375;911.2031;10.393013;954.1998;965.25;939.75;9.412832;879.5762;889.2656;866.6719;10.797438;972.65796;983.8281;957.2344;11.330321;1008.1435;1019.9375;992.0;10.851062;985.77527;995.84375;969.6406;9.829525;980.4386;990.46875;966.8594;10.584567;954.9692;965.5469;939.84375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;12.701996;898.23834;920.5625;876.34375;13.082801;876.70593;901.21875;855.96875;14.678189;980.14264;1006.1719;956.5625;12.820119;962.2217;984.90625;941.25;12.517681;960.8741;983.90625;941.0;13.7749;882.009;908.0625;859.9531;12.597662;873.65497;897.6719;853.8125;12.916804;926.7263;950.9219;906.1094;12.791255;926.5318;949.4844;906.21875;12.148079;882.96545;905.8906;865.28125;14.472408;892.98444;919.84375;869.96875;13.042437;918.8396;942.0781;898.2969;12.607701;846.12933;870.46875;826.3281;14.548912;937.52606;964.6875;914.3594;13.075302;966.0874;989.0781;944.8906;17.043657;942.9512;974.21875;916.8594;13.773122;936.6424;962.4219;914.84375;13.289112;924.70013;949.6719;903.0469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;15.976479;936.8653;949.2344;907.6875;16.304852;917.444;929.7344;887.25;17.268936;1028.7268;1042.6094;997.3281;15.842943;998.09894;1010.1094;969.0;16.341448;1003.54205;1016.25;973.6094;16.407085;906.70703;919.8594;877.28125;15.532499;898.73486;911.0625;870.9844;16.663815;964.1031;977.5;934.2969;16.043755;960.7588;973.1875;931.5;15.987123;928.0186;940.53125;898.4531;16.543764;931.3662;944.1094;900.90625;16.48912;957.7698;970.7031;927.8594;15.637232;882.9598;894.9531;854.125;16.46853;976.6886;989.1094;946.3125;17.124615;1011.461;1024.9688;980.34375;15.604096;990.5385;1001.46875;960.28125;16.141657;983.7437;996.0;953.2969;16.050375;959.8779;971.75;929.8281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;15.440457;888.9005;930.6094;856.2031;15.25337;866.47754;909.0;834.90625;15.205299;964.343;1017.2969;937.4531;14.363864;951.53406;993.34375;922.78125;14.214035;952.4902;997.15625;926.5781;14.805726;871.34;906.8906;839.0781;16.641306;866.4328;905.0781;830.625;14.534251;918.2223;960.46875;889.78125;16.689747;919.1889;964.4375;884.7969;16.76219;873.05914;920.7969;837.4375;16.147451;879.7618;925.59375;847.03125;15.44046;908.9853;955.6094;877.9219;17.104256;835.7712;879.4219;801.7031;15.672897;921.9977;968.1875;890.6719;15.068313;952.9011;1002.0;924.4219;16.630037;925.01447;978.7344;896.71875;16.526161;925.67365;975.6875;894.90625;15.851399;913.6779;955.5625;880.2969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
