Código Município;Tmin_sd2014/11/01;Tmin_min2014/11/01;Tmin_max2014/11/01;Tmin_mean2014/11/01;Tmin_sd2014/12/01;Tmin_min2014/12/01;Tmin_max2014/12/01;Tmin_mean2014/12/01;Tmin_sd2015/01/01;Tmin_min2015/01/01;Tmin_max2015/01/01;Tmin_mean2015/01/01;Tmin_sd2015/11/01;Tmin_min2015/11/01;Tmin_max2015/11/01;Tmin_mean2015/11/01;Tmin_sd2015/12/01;Tmin_min2015/12/01;Tmin_max2015/12/01;Tmin_mean2015/12/01;Tmin_sd2016/01/01;Tmin_min2016/01/01;Tmin_max2016/01/01;Tmin_mean2016/01/01;Tmin_sd2016/11/01;Tmin_min2016/11/01;Tmin_max2016/11/01;Tmin_mean2016/11/01;Tmin_sd2016/12/01;Tmin_min2016/12/01;Tmin_max2016/12/01;Tmin_mean2016/12/01;Tmin_sd2017/01/01;Tmin_min2017/01/01;Tmin_max2017/01/01;Tmin_mean2017/01/01;Tmin_sd2017/11/01;Tmin_min2017/11/01;Tmin_max2017/11/01;Tmin_mean2017/11/01;Tmin_sd2017/12/01;Tmin_min2017/12/01;Tmin_max2017/12/01;Tmin_mean2017/12/01;Tmin_sd2018/01/01;Tmin_min2018/01/01;Tmin_max2018/01/01;Tmin_mean2018/01/01;Tmin_sd2018/11/01;Tmin_min2018/11/01;Tmin_max2018/11/01;Tmin_mean2018/11/01;Tmin_sd2018/12/01;Tmin_min2018/12/01;Tmin_max2018/12/01;Tmin_mean2018/12/01;Tmin_sd2019/01/01;Tmin_min2019/01/01;Tmin_max2019/01/01;Tmin_mean2019/01/01;Tmin_sd2019/11/01;Tmin_min2019/11/01;Tmin_max2019/11/01;Tmin_mean2019/11/01;Tmin_sd2019/12/01;Tmin_min2019/12/01;Tmin_max2019/12/01;Tmin_mean2019/12/01;Tmin_sd2020/01/01;Tmin_min2020/01/01;Tmin_max2020/01/01;Tmin_mean2020/01/01;Tmin_sd2020/11/01;Tmin_min2020/11/01;Tmin_max2020/11/01;Tmin_mean2020/11/01;Tmin_sd2020/12/01;Tmin_min2020/12/01;Tmin_max2020/12/01;Tmin_mean2020/12/01;Tmin_sd2021/01/01;Tmin_min2021/01/01;Tmin_max2021/01/01;Tmin_mean2021/01/01;
2919553.0;13.844357;586.90625;655.65625;603.8594;16.757792;579.8125;660.25;598.1852;22.060247;576.40625;680.375;596.98914;19.405317;601.1094;694.2656;619.70074;23.36692;592.1406;699.4531;615.08435;10.579482;612.5;668.8594;625.2636;19.850147;588.27344;680.3281;610.9574;18.951006;590.8906;679.8125;613.06665;18.71844;588.75;679.9844;608.07947;12.177277;586.3125;647.8281;601.5261;12.583667;599.8281;663.3281;615.72473;18.453465;577.35156;667.0469;597.10315;14.1740675;579.59375;648.9375;597.0602;14.085838;577.875;649.6094;592.9576;21.462782;577.5625;679.0781;597.4131;14.783083;599.8281;674.4375;617.73206;16.686014;624.7656;708.2656;643.40283;15.138455;602.7969;679.0625;619.7497;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;27.568897;512.0078;629.7969;562.80585;28.409203;518.71875;636.5625;569.2415;30.86884;491.59375;632.7656;556.1759;29.184284;520.7344;647.9531;578.8019;27.93309;546.1094;666.78125;596.93317;26.366474;560.9375;671.2969;606.13086;26.409534;522.14844;632.5625;568.19446;28.765419;519.40625;644.6719;573.66766;29.11436;522.41406;648.6094;578.80634;30.92181;524.77344;641.0469;580.825;28.64801;555.15625;669.3281;606.2386;34.311787;516.53125;650.125;583.1515;29.022978;525.15625;639.09375;577.0594;32.508884;513.625;643.7969;577.8268;31.926533;516.1094;647.5781;580.3295;32.862698;519.27344;652.375;586.6042;30.868938;555.3906;678.40625;613.64545;32.932297;554.5703;681.7656;617.2421;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;13.785849;548.7969;595.28125;560.5094;14.200126;553.7578;601.9844;565.9957;17.948416;546.21094;607.1406;562.0773;15.081408;557.0078;608.5;570.8341;15.999518;577.75;631.2344;590.6535;12.430309;590.34375;632.09375;600.9301;13.493317;553.1094;599.0;564.9678;15.340161;559.40625;609.78125;571.0424;16.664803;552.71875;609.5;568.0443;13.073749;548.5547;592.4375;559.85675;13.132681;556.9531;601.5625;568.47577;15.176919;547.5781;598.7031;560.2209;13.395672;551.8906;596.2344;562.5213;15.252241;549.4531;601.96875;563.4253;16.777864;543.2031;600.5625;558.22894;14.458702;558.03125;606.5156;570.7407;14.77592;574.875;624.2656;588.1808;13.142506;584.875;629.3906;596.7054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;11.340423;577.96875;620.1406;608.4675;10.645977;584.96875;626.1406;614.4916;12.930829;589.6406;636.9219;624.8705;10.59091;591.8594;632.2031;620.85583;11.232492;614.0156;657.0469;645.40875;10.149826;615.46875;654.84375;642.8494;10.046992;582.59375;621.3125;610.1988;11.997458;591.9531;636.8906;624.95233;11.73296;592.1719;636.25;624.3932;10.341463;575.125;614.8125;603.28735;9.986378;584.9219;624.0;612.42096;12.184234;581.2344;625.9219;613.59625;10.637052;579.28125;620.0781;608.9599;11.303912;585.4531;627.9219;616.19836;11.998626;583.78125;628.09375;616.3989;11.436161;589.8281;632.40625;620.77924;12.410514;606.7969;652.0469;638.9564;10.248702;612.6875;652.0625;640.17035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;17.523767;545.7656;624.71875;583.15594;18.496414;570.9375;656.34375;613.0865;20.711277;557.0781;647.1094;593.44354;17.953697;558.375;636.46875;595.33185;18.633041;577.9531;657.28125;615.11786;19.27987;601.5156;688.8906;646.4432;19.68333;537.4297;621.5781;575.40704;18.625168;567.21875;647.8125;601.9297;19.09858;564.3594;648.03125;603.5712;18.952375;538.6172;617.7656;574.34424;20.246653;574.03125;663.15625;616.86487;19.933249;566.9453;651.1094;604.6673;18.338285;566.71875;647.7031;610.61914;20.5383;562.6094;651.21875;604.0894;20.696209;557.40625;646.0469;593.6873;19.203875;561.5781;643.9531;601.4127;19.699366;581.8906;664.2656;619.8832;20.368153;600.75;687.0625;642.1934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;20.82376;545.3281;632.40625;582.09564;20.088398;569.5781;654.0781;608.22754;24.972721;556.375;657.6406;603.4179;21.47394;556.9219;646.03125;594.44073;22.324554;574.8281;667.625;616.8437;19.706734;599.8906;683.8125;638.5888;23.180536;539.0547;635.8594;586.21387;22.240034;565.40625;656.53125;606.45105;22.281544;563.40625;656.53125;605.89215;23.374907;538.4375;633.03125;584.59534;22.638449;572.6875;668.1094;620.73065;23.81588;566.78906;664.9844;615.13416;18.893356;565.2344;646.90625;604.2282;23.914427;562.9219;660.4375;609.0788;24.209011;558.28125;655.3594;604.71234;22.665134;562.6094;657.2969;608.9788;23.686401;581.1094;676.78125;629.02106;24.13644;600.3125;698.6719;651.2895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;10.037119;589.4844;614.125;603.3649;9.998005;595.90625;620.15625;610.10156;11.822731;600.4531;630.15625;617.472;9.758707;602.8594;626.5;616.6797;10.698275;624.7344;650.9219;640.1497;9.262688;626.65625;648.71875;639.4119;9.342283;593.3906;615.9219;606.5068;10.69881;604.28125;630.5781;619.23804;10.961156;602.90625;629.96875;618.6867;9.212249;586.8594;608.90625;599.49713;9.309132;596.0625;618.2656;609.02545;10.695505;592.90625;619.25;607.8903;9.584788;591.1719;614.4844;604.4805;10.695719;595.5;621.7969;610.73804;11.178249;593.9844;621.8125;610.0187;10.099511;601.59375;626.21875;615.46124;10.48523;619.15625;644.59375;633.35046;9.387681;623.6875;646.09375;636.63025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;11.458628;558.4219;599.46875;577.0738;12.207535;564.875;609.28125;584.81384;11.485386;560.96875;600.78125;579.38794;13.597255;571.03125;618.3281;592.47455;12.807817;585.84375;630.9375;606.8218;12.849555;600.28125;647.4375;621.2107;10.895796;564.125;603.03125;581.5124;13.064616;561.8125;607.34375;582.56415;12.24817;565.96875;608.21875;585.13837;11.037536;555.1094;595.625;573.15625;12.58685;569.3125;615.7031;589.7949;12.39701;556.625;601.0156;576.57556;11.120586;555.125;595.1406;573.54395;11.963408;567.03125;610.4531;586.91223;11.360845;564.84375;604.9219;583.4383;12.431674;568.8906;612.25;589.173;12.394587;583.5625;627.75;604.04834;12.640653;597.125;643.8594;617.6309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;16.002726;578.4531;619.8594;607.23285;15.96567;584.96875;626.3906;614.5568;17.556793;589.6406;635.0781;620.7825;15.529902;591.8594;632.375;620.8158;16.284405;614.0156;656.375;644.4348;15.438773;615.59375;655.5781;644.34106;15.106412;582.59375;621.6406;610.94;16.80975;591.9531;635.5625;622.4789;16.703854;592.1719;635.7031;622.78265;15.191856;575.125;614.4844;603.4382;15.431067;584.9219;625.0;613.8159;16.869595;581.2969;624.8906;611.62976;15.648372;579.28125;619.8125;608.1493;16.483469;585.4531;628.2969;615.33984;17.03487;583.78125;627.9531;614.0535;16.29317;589.8281;631.7656;618.7716;16.94426;606.7969;650.1875;636.6719;15.528244;612.7656;653.0156;641.61084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;13.371233;545.875;604.84375;570.9696;12.840658;552.7656;610.0781;577.2806;14.961136;548.9531;614.78125;574.5206;14.383296;557.14844;619.25;582.6149;13.819908;572.3281;636.6875;596.50446;13.14127;587.4375;644.0156;613.9775;12.531563;550.6719;607.4375;576.5602;14.546769;548.8906;614.1094;573.63257;14.472363;552.65625;618.84375;578.2293;12.515365;545.9922;601.9219;569.8283;13.038619;559.7656;613.2656;584.49255;14.364366;546.2422;607.90625;570.9067;12.220188;546.1094;601.96875;568.0462;13.558745;554.2578;612.2656;579.7152;14.388909;549.7031;614.71875;577.1873;13.657775;554.0156;615.21875;580.1014;13.718159;571.625;634.0781;596.6409;13.203234;585.03125;641.2969;612.26447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
