Código Município;u2_min2014/11/01;u2_mean2014/11/01;u2_sd2014/11/01;u2_max2014/11/01;u2_min2014/12/01;u2_mean2014/12/01;u2_sd2014/12/01;u2_max2014/12/01;u2_min2015/01/01;u2_mean2015/01/01;u2_sd2015/01/01;u2_max2015/01/01;u2_min2015/11/01;u2_mean2015/11/01;u2_sd2015/11/01;u2_max2015/11/01;u2_min2015/12/01;u2_mean2015/12/01;u2_sd2015/12/01;u2_max2015/12/01;u2_min2016/01/01;u2_mean2016/01/01;u2_sd2016/01/01;u2_max2016/01/01;u2_min2016/11/01;u2_mean2016/11/01;u2_sd2016/11/01;u2_max2016/11/01;u2_min2016/12/01;u2_mean2016/12/01;u2_sd2016/12/01;u2_max2016/12/01;u2_min2017/01/01;u2_mean2017/01/01;u2_sd2017/01/01;u2_max2017/01/01;u2_min2017/11/01;u2_mean2017/11/01;u2_sd2017/11/01;u2_max2017/11/01;u2_min2017/12/01;u2_mean2017/12/01;u2_sd2017/12/01;u2_max2017/12/01;u2_min2018/01/01;u2_mean2018/01/01;u2_sd2018/01/01;u2_max2018/01/01;u2_min2018/11/01;u2_mean2018/11/01;u2_sd2018/11/01;u2_max2018/11/01;u2_min2018/12/01;u2_mean2018/12/01;u2_sd2018/12/01;u2_max2018/12/01;u2_min2019/01/01;u2_mean2019/01/01;u2_sd2019/01/01;u2_max2019/01/01;u2_min2019/11/01;u2_mean2019/11/01;u2_sd2019/11/01;u2_max2019/11/01;u2_min2019/12/01;u2_mean2019/12/01;u2_sd2019/12/01;u2_max2019/12/01;u2_min2020/01/01;u2_mean2020/01/01;u2_sd2020/01/01;u2_max2020/01/01;u2_min2020/11/01;u2_mean2020/11/01;u2_sd2020/11/01;u2_max2020/11/01;u2_min2020/12/01;u2_mean2020/12/01;u2_sd2020/12/01;u2_max2020/12/01;u2_min2021/01/01;u2_mean2021/01/01;u2_sd2021/01/01;u2_max2021/01/01;
2919553.0;34.07715;40.66408;3.3914015;45.82715;33.595703;40.716244;3.5058608;45.597168;31.802734;37.010975;2.521001;40.984863;34.608887;40.877155;3.6542265;48.171875;34.759277;40.715725;3.1493728;46.401855;30.60205;36.44557;2.8853152;41.26367;33.85791;39.90178;2.956251;44.62207;33.540527;39.825577;2.9187942;44.26758;28.999512;33.17414;1.951869;37.07617;32.134277;37.85796;2.8801515;42.67578;29.081543;34.583294;2.4499958;38.5;26.010254;30.64796;2.4074404;34.762695;31.012207;36.665577;2.9119925;41.40918;26.82129;30.673872;2.298239;37.081543;25.456055;28.990473;1.7996521;32.545166;30.678223;35.275055;2.1744397;38.59326;32.02295;38.20764;3.1395047;43.03955;24.126465;29.085957;2.5627635;33.66504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5217609.0;29.632324;34.093433;3.090035;41.350098;32.460938;38.05897;3.8479373;46.210938;31.838135;36.89758;2.8339176;42.78955;27.930176;31.458912;2.6663563;38.325195;28.45337;32.953316;3.0624645;40.37451;34.73706;40.3867;3.5868819;48.632324;32.082275;37.127506;3.6201155;45.438477;33.32666;38.939423;4.173924;48.31836;30.108643;33.716278;2.7258246;40.319824;35.979004;41.477264;3.853418;48.65918;32.15918;38.367542;3.4730263;45.9541;34.3042;39.533855;3.3795433;45.91992;36.463867;40.48501;2.6619027;45.51367;34.728516;41.85767;4.053888;48.882812;38.310547;42.519875;2.3797927;47.663574;35.75879;39.734623;2.6431036;44.632324;35.82959;40.206722;2.7950416;46.024414;37.856934;46.634754;4.585263;54.32422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5201108.0;25.718262;29.625126;1.8461908;31.760742;27.307129;32.053932;2.2306151;34.644043;28.285645;32.704132;2.0840826;34.86377;31.64795;35.524048;1.7764182;37.365723;27.930176;31.898216;1.7784017;34.029785;25.726562;30.487404;2.1826081;33.088867;30.117676;35.55112;2.8615737;38.788574;32.149414;37.28604;2.3541443;39.827637;28.567871;32.707294;1.8880558;34.7959;29.214355;34.51646;2.369835;37.044434;27.125;30.678112;1.6453569;32.659668;28.23877;32.4102;1.9265457;34.575684;29.641113;32.363495;1.4383733;34.501953;32.144043;34.75328;1.4023094;36.834473;32.029297;34.8377;1.4931345;37.0459;30.121582;33.245617;1.5721446;35.436523;30.390625;34.457615;2.0263839;37.18701;29.595703;33.447655;1.8817034;36.0083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5208707.0;23.313965;25.922363;1.3663766;27.947266;24.399658;27.437931;1.5682907;29.844727;25.782715;28.47358;1.3944428;30.468262;28.468994;31.829391;1.8136897;34.480957;25.29541;28.401083;1.5294704;30.541016;24.302734;26.99175;2.06785;30.97461;26.199707;29.610405;2.0163789;33.12256;28.620605;31.766918;1.8335651;34.532227;24.594238;27.863838;1.6802474;30.236328;27.830566;33.127247;2.467508;36.331055;24.924805;29.407114;2.3377929;32.91504;25.726562;29.883816;1.7646631;31.70166;25.000488;30.275995;2.3705797;33.4917;27.683105;32.144833;2.1320236;35.35791;26.29834;30.28296;2.1099863;33.882324;27.719482;31.06924;1.779626;33.7417;27.139648;30.776413;1.8548076;33.413574;27.887207;31.253416;2.1145146;34.61914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5211909.0;26.983887;34.554535;3.8904033;45.92285;34.21997;43.62144;3.9525561;52.86035;26.863525;36.02914;4.00273;45.486816;28.155273;32.15643;2.9787033;42.17383;28.86084;33.212723;2.7318916;43.39258;37.18164;43.10175;3.3639503;53.375;27.164062;31.956388;3.1294563;40.81201;33.881348;39.04467;3.1638958;47.518555;28.762695;33.938103;2.8948975;41.771973;30.70459;35.355247;3.34524;45.100586;34.303223;38.245636;2.9838867;46.99951;31.730957;35.968933;3.1806047;45.936523;32.79785;38.433006;3.6052237;47.88672;28.550781;33.060135;3.173612;41.42627;30.57544;35.68376;3.092383;43.49414;24.31543;29.748657;3.9689915;41.29492;25.826904;32.46435;3.898472;43.427246;28.388672;35.396114;4.0534773;45.967773;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5218805.0;27.85669;34.78295;3.4404888;41.09424;35.83496;45.389824;4.1376944;51.405273;31.859863;38.058872;2.9912362;43.174316;29.292969;35.21629;2.872366;41.589844;26.187988;31.770035;2.838946;37.58838;33.697754;42.46418;3.439637;47.40869;27.052002;33.206497;2.9581888;39.733887;31.44873;38.71537;3.039781;44.052246;25.510498;32.32526;3.489055;39.675293;30.764404;37.296177;3.807889;46.0;32.38672;38.873978;3.2710376;45.384766;27.307129;34.33477;3.5409322;40.541992;31.413574;38.705944;3.87645;46.94287;28.786133;34.43838;3.2428498;42.245117;29.316895;35.83075;3.1247618;42.40576;25.428467;31.944742;3.5629723;39.56299;23.610352;29.257677;3.4679017;37.551758;26.117432;32.59807;3.4015822;40.081543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5219738.0;25.322266;25.805202;0.43363473;26.401367;26.908691;27.537905;0.5838957;28.38379;27.359863;28.00521;0.55999297;28.762207;30.485352;31.213272;0.62595475;32.061523;28.177734;28.767975;0.5084626;29.483398;25.932129;26.473408;0.4817082;27.136719;28.764648;29.500153;0.65669775;30.403809;30.614258;31.40644;0.71246785;32.424316;27.280273;28.005823;0.6602984;28.940918;27.927246;29.976107;2.9469228;34.44873;26.84961;27.86737;1.6209711;30.487305;27.635254;28.672806;1.4890338;30.99414;29.976074;31.374918;0.9923923;32.44336;32.177246;33.35292;1.0469035;34.808105;30.385254;32.232918;1.6055984;34.233887;29.748047;31.028769;1.3735505;32.97412;29.96289;30.801495;1.2332709;32.84619;29.583984;30.529907;1.3940375;32.91211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220264.0;24.571533;26.120773;1.8210175;29.643555;24.850586;26.437653;1.7830372;29.605957;24.378906;26.088104;2.0343661;30.140625;27.041748;29.154837;2.2695873;33.0083;23.618652;25.751541;2.3872223;30.259766;24.03955;26.389015;2.6428921;31.091797;24.780273;26.908203;2.7619395;32.260254;26.415527;28.631145;2.602271;33.404785;20.463135;22.713106;2.5184145;27.263672;27.507812;29.224047;2.0680006;34.020508;21.911377;23.984118;2.3931646;28.077637;21.064209;23.020239;2.2333324;27.007812;20.687988;22.966282;2.5034945;27.240234;23.816406;26.19784;2.621441;30.850586;20.123291;22.44814;2.5609145;27.009766;25.433838;27.14869;1.889036;31.40039;24.191406;25.747768;1.989348;30.017578;25.011475;26.754354;2.1628566;31.870117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220454.0;25.411133;26.249245;0.84596;27.589844;26.321777;27.387657;0.9800902;28.865723;27.135254;28.499218;1.0128127;29.814941;30.400879;31.945803;1.300882;33.90625;26.51709;27.956667;1.17786;29.574219;25.253906;26.75296;1.6817124;29.282715;28.615723;29.748;1.3715161;32.13379;29.759277;31.37969;1.4595349;33.560547;25.130371;27.085827;1.4035734;28.928223;30.09375;31.746937;1.4760191;34.114258;24.825195;27.155802;2.4074907;30.952637;25.601074;27.661892;1.6879437;29.784668;24.799316;27.41924;2.3428752;30.561035;27.716797;29.725636;1.9042937;32.56006;25.404785;27.944153;1.9214752;30.44873;28.40625;29.768044;1.2987914;32.001465;27.433105;29.310354;1.5310237;31.768066;27.968262;29.34388;1.6046205;32.395508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5220603.0;24.64502;33.618546;5.9623337;44.527832;24.875;34.303642;6.418042;45.893555;24.702148;34.80352;5.6575403;44.532227;27.442871;36.38793;4.393575;43.662598;24.144043;34.472103;5.2342014;43.05957;24.115234;36.02584;7.397774;48.40039;25.140137;37.904568;6.3908253;49.257324;26.566406;39.46746;6.9414606;50.865234;20.94458;31.635246;5.1157775;39.80664;28.041016;38.20185;5.837599;48.91797;22.079102;31.619135;5.4544835;41.520996;21.475586;31.22792;5.1905103;40.71631;20.954834;33.10706;6.527941;44.183594;24.064941;35.626644;6.1475363;45.379395;20.516602;33.207314;6.316759;44.466797;25.849854;34.79838;4.930322;43.833008;24.532715;34.042164;4.861997;43.595215;25.344727;35.913876;6.21042;47.740234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
